,length,expected_length,expansions,steps,nodes_created,memory,time,map_name
24,344.6000717875002,328.19805145,460,659,3419,2127,0.050976,empty
160,345.19090885901045,330.06096649,5222,7175,37378,6058,0.535966,city
179,347.3208511739218,286.96046142,7284,9924,51759,7778,0.722726,city
66,348.3797256769672,327.22539673,617,828,4274,2146,0.07053,empty
79,349.5807358037439,322.72792206,548,732,3963,2033,0.054551,empty
6,351.65894629054577,324.12698364,509,706,3760,2088,0.058136,empty
136,355.73506473629476,297.03152923,18417,25237,132854,12951,1.9418929999999999,city
142,372.3624817342644,311.41630554,33651,46265,243820,15525,3.579517,city
150,377.6173157302037,333.45793609,1859,2742,12316,3551,0.178877,city
164,380.57568516986066,356.07315979,9523,13021,68910,8291,1.002376,city
157,380.8772003600259,323.24473266,10656,14540,75952,9916,1.108897,city
145,386.3624817342643,344.30360718,10726,14841,76631,9824,1.15237,city
159,406.88939366884586,340.36248169,7826,11234,53388,6687,0.766087,city
138,413.94826817189136,355.00209198,11496,15710,82827,11732,1.178336,city
177,432.3330444827415,365.24473266,12464,16907,90327,10151,1.327629,city
